location,network,signal_strength,signal_quality,sinr,data_speed,timestamp
Front Gate,MTN,-59.7,65.2,17.6,32.9,2025-10-16 14:50:24.349553
Front Gate,MTN,-69.3,58.8,18.2,29.1,2025-10-17 20:50:24.351059
Front Gate,MTN,-66.9,62.0,19.4,30.7,2025-10-20 03:50:24.351059
Front Gate,MTN,-63.4,64.6,19.9,29.2,2025-10-22 19:50:24.351059
Front Gate,MTN,-67.6,60.2,17.0,30.3,2025-10-17 14:50:24.351059
Front Gate,MTN,-68.4,64.9,15.2,29.1,2025-10-22 18:50:24.351059
Front Gate,MTN,-66.5,63.0,17.4,28.3,2025-10-18 05:50:24.351059
Front Gate,MTN,-67.6,50.2,17.2,25.1,2025-10-16 23:50:24.351059
Front Gate,MTN,-71.3,59.2,19.6,23.5,2025-10-18 07:50:24.351059
Front Gate,MTN,-66.5,54.2,22.8,22.5,2025-10-20 10:50:24.351059
Front Gate,MTN,-63.5,62.7,16.9,23.3,2025-10-23 02:50:24.351059
Front Gate,MTN,-63.5,69.2,18.1,34.0,2025-10-21 11:50:24.351059
Front Gate,MTN,-70.6,70.6,20.9,24.6,2025-10-22 03:50:24.351059
Front Gate,MTN,-67.2,60.6,21.1,27.1,2025-10-21 09:50:24.351059
Front Gate,MTN,-67.9,57.5,19.1,22.2,2025-10-16 15:50:24.351059
Front Gate,Airtel,-73.1,56.4,18.2,21.2,2025-10-16 14:50:24.351059
Front Gate,Airtel,-64.7,69.2,16.6,26.4,2025-10-17 12:50:24.351059
Front Gate,Airtel,-70.4,61.3,18.2,24.1,2025-10-17 19:50:24.351059
Front Gate,Airtel,-68.1,64.4,18.0,20.4,2025-10-20 12:50:24.351059
Front Gate,Airtel,-69.8,51.3,17.1,23.0,2025-10-20 06:50:24.351059
Front Gate,Airtel,-74.2,54.8,20.7,23.4,2025-10-17 01:50:24.351059
Front Gate,Airtel,-64.3,59.2,17.4,29.0,2025-10-19 19:50:24.351059
Front Gate,Airtel,-69.1,51.9,14.0,23.6,2025-10-21 21:50:24.351059
Front Gate,Airtel,-68.9,57.3,18.3,18.8,2025-10-16 19:50:24.351059
